N,bias_alpha,bias_nu,bias_tau,sq_error_alpha,sq_error_nu,sq_error_tau
10,-0.0007453656237584871,0.20266034652563847,0.06571821614369494,5.555699130808786e-07,0.041071216053891864,0.0043188839331094065
10,-0.46146479756678493,0.1684005687728185,0.429061787650467,0.2129497593933538,0.028358751563008773,0.18409401762181443
10,0.02137767943802915,-0.03617931737167768,-0.046928070238522246,0.0004570051781551344,0.0013089430054805781,0.0022022437763116773
10,-0.03144548124429536,0.6967879682140091,0.025941145021839807,0.0009888182906853313,0.485513472647807,0.0006729430050441241
10,-0.3053212760940356,-0.7461403880331998,0.15817677117278872,0.0932210816356903,0.556725478654334,0.025019890938648766
10,0.053204417874453847,0.17585184416794863,-0.02367494273370424,0.002830710081359504,0.03092387109726849,0.0005605029134441753
10,-0.026986633643105606,0.5160765795047214,0.04075412808284973,0.0007282783953871994,0.26633503591329305,0.0016608989557933209
10,0.7771516259594504,0.19066833557159146,-0.20442223023780215,0.6039646497314175,0.03635441418964101,0.04178844821539699
10,0.015704186293016065,-0.5595338831949437,-0.17639449784904693,0.00024662146712575364,0.3130781664432129,0.031115018871417422
10,-0.18755747114497967,0.3262010671390212,0.12322575478311248,0.03517780498229988,0.10640713620263621,0.015184586641867769
10,-0.19738794652450764,0.3428260703140281,0.2656533346274863,0.038962001433161884,0.11752971448695895,0.07057169419870321
10,-0.18992319091378973,0.2240754596776955,0.14539175833466322,0.03607081844687582,0.050209811629770534,0.021138763391645114
10,0.05454476196435193,0.03565157692134013,-0.03328422660447827,0.002975131057747813,0.0012710349369782325,0.0011078397406582593
10,0.09323829467856526,0.3451562036213026,-0.05848230335136245,0.008693379594566971,0.1191328048982701,0.0034201798052807797
10,0.15273135332844556,0.251017561821129,0.07724593356713699,0.023326866289538478,0.06300981634262431,0.005966934252658542
10,0.10321715570087497,0.28476817359626927,0.1438042446820269,0.010653781230978668,0.08109291269335495,0.020679660788568262
10,0.21122847895130392,0.04977559194076803,0.184940410555685,0.04461747032008145,0.002477609553053851,0.03420295545650532
10,0.06094333589822398,0.21328715693665967,-0.026495429069405163,0.003714090190403756,0.04549141131412329,0.0007020077615718801
10,0.07277777207311553,0.7882356547919737,-0.052723922218997354,0.005296604107926355,0.6213154474853315,0.0027798119741548827
