N,bias_alpha,bias_nu,bias_tau,sq_error_alpha,sq_error_nu,sq_error_tau
10,0.10876332957638835,-3.474804356096926,-0.0645240150284464,0.011829461860542071,12.074265313150173,0.0041633485153911775
10,0.20524078598906104,-0.42380923445406826,-0.07986275359382461,0.04212378023340755,0.1796142672085434,0.006378059411587945
10,0.3790910557720901,0.15588240553008492,-0.28175851304991095,0.14371002856639795,0.02429932435384585,0.07938785967609684
10,0.055671118029248734,-0.2807179586185684,-0.09027554129736184,0.0030992733826265433,0.07880257229097629,0.008149673356531684
10,-0.34224570304899005,0.12518119776957604,0.2565051250451823,0.11713212125549748,0.01567033227502571,0.06579487917444461
10,0.264246834448721,-0.05177879955307674,-0.11641166473511066,0.06982638951616976,0.0026810440831577,0.013551675686399808
10,-0.28249202060019263,-0.23148084027824822,0.11845288438102228,0.07980174170277965,0.053583379415923865,0.014031085818183832
10,0.12358940772041194,0.4645745284547331,-0.02712316263477832,0.015274341700682217,0.21582949248893765,0.0007356659513126348
10,0.326783794981123,0.19519507107100376,-0.2734935502689182,0.10678764866226462,0.03810111577041421,0.07479872203869728
10,0.07019483144248384,-0.6614036171349751,-0.0078061133812079575,0.004927314361238718,0.4374547447592287,6.093540612027393e-05
10,nan,0.8773797827306573,nan,nan,0.7697952831444954,nan
10,0.12694269897738508,-1.2407948148405539,-0.02170167268244033,0.016114448823663002,1.5395717725352043,0.00047096259721577695
10,-0.11281926173810475,0.39926356963020915,0.11679418287746256,0.012728185819130986,0.15941139803385687,0.013640881154014168
10,0.019252804089236575,-1.8143454217137867,0.0020034630670889564,0.00037067046529852456,3.291849309293778,4.0138642611894885e-06
10,-0.14546161100829802,-0.003346934542768132,0.003167510652695049,0.021159080277129406,1.1201970833574524e-05,1.0033123734936616e-05
10,0.16321067216539542,0.83250122840452,-0.11763460778103668,0.02663772350868018,0.6930582952950348,0.013837900947798337
10,-0.0754688554802816,0.5987418829118717,-0.018895452182052908,0.005695548147503629,0.3584918423528535,0.000357038113164248
10,0.01182897300657304,0.0981596618305477,0.026176190055692605,0.00013992460239023363,0.009635319210687483,0.0006851929258317404
10,0.45376970019586316,0.07054408176184657,0.0007415523594486995,0.20590694081584354,0.004976467471622093,5.498999018039331e-07
10,nan,1.9808536100901502,nan,nan,3.9237810246071807,nan
10,0.3122652773089091,-0.08451926925277586,-0.1789408574296214,0.09750960341280988,0.007143506875023223,0.03201983045764809
10,-0.03710167346034998,0.30209073943659803,0.15732815267536895,0.0013765341735584382,0.09125881485335056,0.024752147624244204
10,0.44966766997354846,-0.8930824723843062,-0.17299992098411054,0.20220101341944008,0.797596302480065,0.029928972660508493
10,0.11789568001207673,-0.44488080306559885,-0.05031873091421668,0.013899391365509989,0.19791892893629215,0.0025319746808173454
10,0.14052995742630436,-0.7763662523097433,-0.0081885711053723,0.019748668934238916,0.602744557725476,6.705269674773813e-05
10,0.033031969993582044,0.3998725305289821,-0.011606855843776742,0.0010911110416569046,0.1598980406716517,0.0001347191025782143
